brand,city,dealer_name,address,link_maps
isuzu,bandung,PT. AI-ISUZU SALES OPERATION,"JL. SOEKARNO HATTA 438 D, Bandung","http://maps.google.com/?q=-6.949181,107.620437"
isuzu,bekasi,PT. AI-ISUZU SALES OPERATION,"JL. JEND. SUDIRMAN 99 KRANJI, Bekasi","http://maps.google.com/?q=-6.249028,106.996952"
isuzu,bogor,PT. AI-ISUZU SALES OPERATION,"JL. PAJAJARAN NO. 22, Bogor","http://maps.google.com/?q=-6.617843,106.816488"
isuzu,denpasar,PT. AI-ISUZU SALES OPERATION,"JL. HOS COKROAMINOTO NO. 52, Denpasar","http://maps.google.com/?q=-8.64087,115.208709"
isuzu,depok,PT. KARYA ZIRANG UTAMA,"JL. KARTINI NO. 51, Depok","http://maps.google.com/?q=-6.401869,106.818583"
isuzu,jakarta barat,PT. AI-ISUZU SALES OPERATION,"JL. DAAN MOGOT KM. 13,9 CENGKARENG , Jakarta Barat","http://maps.google.com/?q=-6.137254,106.728972"
isuzu,jakarta pusat,PT. ARMADA AUTO TARA,"JL. TANAH ABANG II NO. 104, Jakarta Pusat, 12220","http://maps.google.com/?q=-6.175826,106.810015"
isuzu,jakarta selatan,PT. AI ISUZU SALES OPERATION,"JL. RS FATMAWATI NO. 159, Jakarta Selatan","http://maps.google.com/?q=-6.291021,106.794845"
isuzu,jakarta timur,PT. AI ISUZU SALES OPERATION,"JL. PRAMUKA RAYA NO. 8, UTAN KAYU UTARA MATRAMAN, Jakarta Timur","http://maps.google.com/?q=-6.191847,106.873156"
isuzu,jakarta utara,PT. PERROS MOBILINDO,"JL. KAMPUNG BANDAN 3-6, Jakarta Utara, 14330","http://maps.google.com/?q=-6.133387,106.817173"
isuzu,makassar,PT. AI-ISUZU SALES OPERATION,"JL. URIP SUMOHARJO KM. 4, Makassar","http://maps.google.com/?q=-2.96319,104.7847"
isuzu,medan,PT. ISUINDOMAS PUTRA,"JL. RAHMADSYAH 55-57, Medan","http://maps.google.com/?q=3.579724,98.692908"
isuzu,palembang,PT. AI-ISUZU SALES OPERATION,"JL. KOL. H. BURLIAN, Palembang","http://maps.google.com/?q=-2.990934,104.756556"
isuzu,pekanbaru,PT. AI-ISUZU SALES OPERATION,"JL. SOEKARNO HATTA 120-122, Pekanbaru","http://maps.google.com/?q=0.481075,101.45636"
isuzu,semarang,PT. AI-ISUZU SALES OPERATION,"JL. MAJAPAHIT  117, Semarang","http://maps.google.com/?q=-7.008865,110.465041"
isuzu,surabaya,PT. AI-ISUZU SALES OPERATION,"JL. KOMBES M. DURIAT 17, Surabaya","http://maps.google.com/?q=-7.26916,112.739466"
isuzu,surakarta,PT. SASAMI RADYA MOTOR,"JL. RAYA PALUR KM. 5,7 NO. 16 PALUR SOLO, Surakarta, 57554","http://maps.google.com/?q=-7.566244,110.867027"
isuzu,tangerang,PT. AUTO CIPTA KARYA,"JL. RAYA SERPONG KAV. 8, Tangerang, 12270","http://maps.google.com/?q=-6.316073,106.696751"
isuzu,tangerang selatan,PT. AI-ISUZU PISANGAN,"JL. IR. H. DJUANDA NO. 48, PISANGAN, CIPUTAT TIMUR , Tangerang Selatan","http://maps.google.com/?q=-6.31221,106.75134"
isuzu,yogyakarta,PT. AI-ISUZU SALES OPERATION,"JL. RINGROAD SELATAN, DESA PANGGUNG HARJO RW 12, KEC.SEWON, Yogyakarta","http://maps.google.com/?q=-7.835115,110.364523"
isuzu,badung,PT. BUANA PERKASA DEWATA PERMAI,"JL. SUNSET ROAD 88, KUTA BALI, Badung, 80361","http://maps.google.com/?q=-8.71618,115.1852"
isuzu,balikpapan,PT. AI-ISUZU SALES OPERATION,"JL. JENDRAL SUDIRMAN 4A, Balikpapan","http://maps.google.com/?q=-1.273322,116.851236"
isuzu,banda aceh,PT. ISUINDOMAS PUTRA,"JL. CUT NYAK DIEN LAMTEUMEN 379 JAYA BARU, Banda Aceh","http://maps.google.com/?q=5.55,95.316667"
isuzu,bandar lampung,PT. AI-ISUZU SALES OPERATION,"JL. Z. A. PAGAR ALAM  81 GEDONG MENENG, Bandar Lampung","http://maps.google.com/?q=-5.386531,105.244654"
isuzu,banjarmasin,PT. AI-ISUZU SALES OPERATION,"JL. JENDRAL A YANI KM. 15,8 GAMBUT, Banjarmasin","http://maps.google.com/?q=-3.392128,114.658864"
isuzu,banyumas,PT. ARMADA INTERNATIONAL MOTOR,"JL. GERILYA TIMUR 28 , Purwokerto, Banyumas","http://maps.google.com/?q=-7.431391,109.24783"
isuzu,bengkulu,PT. BORNEO AUTO CEMERLANG,"JL. DEPATI PAYUNG NEGARA RT 023 RW 05 91 KELURAHAN PAGAR DEWA,KECAMATAN SELEBAR, Bengkulu","http://maps.google.com/?q=-3.792067,102.261996"
isuzu,bojonegoro,PT. JOLO INDAH,"JL. UNTUNG SUROPATI NO. 93, Bojonegoro","http://maps.google.com/?q=-7.158195,111.87844"
isuzu,buleleng,PT. AI-ISUZU SALES OPERATION,"JL. A YANI BARAT 201 SINGARAJA, Buleleng, 81119","http://maps.google.com/?q=-0.05936,110.12754"
isuzu,cilacap,PT. ARMADA INTERNATIONAL MOTOR,"JL. URIP SUMOHARJO RT.002/002 MERTASINGA, Cilacap","http://maps.google.com/?q=-7.680507,109.051094"
isuzu,cilegon,PT. AI-ISUZU SALES OPERATION,"JL. RAYA SERANG RUKO SABAR INDAH DESA SERDANG  14 KRAMATWATU SERANG, Cilegon","http://maps.google.com/?q=-6.12,106.150278"
isuzu,cirebon,PT. AI-ISUZU SALES OPERATION,"JL. TUPAREV 76, Cirebon","http://maps.google.com/?q=-6.710994,108.541543"
isuzu,garut,PT. ASCO DWI MOBILINDO,"JL.CIMANUK 150, Garut","http://maps.google.com/?q=-7.212181,107.897911"
isuzu,gianyar,PT. AI-ISUZU SALES OPERATION,"JL. PROFESSOR DOKTOR IDA BAGUS MANTRA NO. 119 X, LEMBENG, Gianyar","http://maps.google.com/?q=-8.64823,115.27118"
isuzu,gorontalo,PT. BORNEO AUTO CEMERLANG,"JL. JOHN ARYO KATILI NO.140 RT.3 RW.3 PAGUYUMAN, Gorontalo","http://maps.google.com/?q=0.631701,122.755737"
isuzu,gresik,PT. BUANA PERKASA PERMAI,"JL. RA KARTINI 222, Gresik","http://maps.google.com/?q=-7.167404,112.643523"
isuzu,jambi,PT. SIPIN MOBILINDO,"JL. KOLONEL ABUNJANI   8 SIMPANG III SIPIN, Jambi","http://maps.google.com/?q=-1.614777,103.593546"
isuzu,jayapura,PT. BORNEO AUTO CEMERLANG,"JL. RAYA SENTANI   78 KELURAHAN HEDAM ABEPURA, Jayapura","http://maps.google.com/?q=-2.533,140.717"
isuzu,jember,PT. BUANA PERKASA PERMAI,"JL. HAYAM WURUK 40, Jember, 68131","http://maps.google.com/?q=-8.18743,113.65864"
isuzu,karawang,PT. AI-ISUZU SALES OPERATION,"JL. SUROTO KUNTO 58, Karawang","http://maps.google.com/?q=-6.314418,107.320511"
isuzu,kediri,PT. JOLO INDAH,"JL. ERLANGGA 36, Kediri","http://maps.google.com/?q=-7.813808,112.056181"
isuzu,klaten,PT. AI-ISUZU SALES OPERATION,"DUKUH Tegal MAS DESA PRAWATAN   JOGONALAN, Klaten","http://maps.google.com/?q=-7.69165,110.612548"
isuzu,kudus,PT. KARYA ZIRANG UTAMA,"JL. AKBP AGIL KUSUMADYA, Kudus","http://maps.google.com/?q=-6.833857,110.825376"
isuzu,kupang,PT. PRIMAPUTRA ADIWAHANA,"JL. TIMOR RAYA Kupang 154, Kupang","http://maps.google.com/?q=-10.095867,123.846302"
isuzu,kutai timur,PT. AI-ISUZU SALES OPERATION,"JL. KABO JAYA KELURAHAN SWARGA BARA KECAMATAN SANGATTA UTARA, Kutai Timur, 75683","http://maps.google.com/?q=0.53308,117.52468"
isuzu,labuhan batu,PT. AI-ISUZU SALES OPERATION,"JL. H. ADAM MALIK, KELURAHAN BKARAN BATU, Rantau Prapat, Labuhan Batu","http://maps.google.com/?q=2.093131,99.835207"
